Country,Year,Life_Expectancy,Adult_Mortality,Infant_Deaths,Alcohol,Percentage_Expenditure,Bmi,Under-Five_Deaths,Polio,Total_Expenditure,Diphtheria,Hiv/Aids,Thinness__1-19_Years,Thinness_5-9_Years,Income_Composition_Of_Resources,Schooling,Status_num,LifeExp_Category,Polio_Binned
0,2015,65.0,263.0,62,0.01,71.27962362,19.1,83,6.0,8.16,65.0,0.1,17.2,17.3,0.479,10.1,0,1,0
0,2014,59.9,271.0,64,0.01,73.52358168,18.6,86,58.0,8.18,62.0,0.1,17.5,17.5,0.476,10.0,0,0,1
0,2013,59.9,268.0,66,0.01,73.21924272,18.1,89,62.0,8.13,64.0,0.1,17.7,17.7,0.47,9.9,0,0,2
0,2012,59.5,272.0,69,0.01,78.1842153,17.6,93,67.0,8.52,67.0,0.1,17.9,18.0,0.463,9.8,0,0,2
0,2011,59.2,275.0,71,0.01,7.097108703,17.2,97,68.0,7.87,68.0,0.1,18.2,18.2,0.454,9.5,0,0,2
0,2010,58.8,279.0,74,0.01,79.67936736,16.7,102,66.0,9.2,66.0,0.1,18.4,18.4,0.448,9.2,0,0,2
0,2009,58.6,281.0,77,0.01,56.76221682,16.2,106,63.0,9.42,63.0,0.1,18.6,18.7,0.434,8.9,0,0,2
0,2008,58.1,287.0,80,0.03,25.87392536,15.7,110,64.0,8.33,64.0,0.1,18.8,18.9,0.433,8.7,0,0,2
0,2007,57.5,295.0,82,0.02,10.91015598,15.2,113,63.0,6.73,63.0,0.1,19.0,19.1,0.415,8.4,0,0,2
0,2006,57.3,295.0,84,0.03,17.17151751,14.7,116,58.0,7.43,58.0,0.1,19.2,19.3,0.405,8.1,0,0,1
0,2005,57.3,291.0,85,0.02,1.388647732,14.2,118,58.0,8.7,58.0,0.1,19.3,19.5,0.396,7.9,0,0,1
0,2004,57.0,293.0,87,0.02,15.29606643,13.8,120,5.0,8.79,5.0,0.1,19.5,19.7,0.381,6.8,0,0,0
0,2003,56.7,295.0,87,0.01,11.08905273,13.4,122,41.0,8.82,41.0,0.1,19.7,19.9,0.373,6.5,0,0,3
0,2002,56.2,3.0,88,0.01,16.88735091,13.0,122,36.0,7.76,36.0,0.1,19.9,2.2,0.341,6.2,0,0,3
0,2001,55.3,316.0,88,0.01,10.5747282,12.6,122,35.0,7.8,33.0,0.1,2.1,2.4,0.34,5.9,0,0,3
0,2000,54.8,321.0,88,0.01,10.42496,12.2,122,24.0,8.2,24.0,0.1,2.3,2.5,0.338,5.5,0,0,3
1,2015,77.8,74.0,0,4.6,364.9752287,58.0,0,99.0,6.0,99.0,0.1,1.2,1.3,0.762,14.2,0,1,4
1,2014,77.5,8.0,0,4.51,428.7490668,57.2,1,98.0,5.88,98.0,0.1,1.2,1.3,0.761,14.2,0,1,4
1,2013,77.2,84.0,0,4.76,430.8769785,56.5,1,99.0,5.66,99.0,0.1,1.3,1.4,0.759,14.2,0,1,4
1,2012,76.9,86.0,0,5.14,412.4433563,55.8,1,99.0,5.59,99.0,0.1,1.3,1.4,0.752,14.2,0,1,4
1,2011,76.6,88.0,0,5.37,437.0621,55.1,1,99.0,5.71,99.0,0.1,1.4,1.5,0.738,13.3,0,1,4
1,2010,76.2,91.0,1,5.28,41.82275719,54.3,1,99.0,5.34,99.0,0.1,1.4,1.5,0.725,12.5,0,1,4
1,2009,76.1,91.0,1,5.79,348.0559517,53.5,1,98.0,5.79,98.0,0.1,1.5,1.6,0.721,12.2,0,1,4
